fulfillment_id,order_id,fulfillment_date,warehouse_cost,shipping_cost,customs_clearance_cost,total_fulfillment_cost
FUL-ORD-1000,ORD-1000,2024-12-22,3.88,33.75,11.3,48.93000000000001
FUL-ORD-1001,ORD-1001,2024-12-12,4.59,18.57,6.04,29.2
FUL-ORD-1002,ORD-1002,2024-12-13,4.49,33.25,12.41,50.150000000000006
FUL-ORD-1004,ORD-1004,2024-11-14,3.94,41.65,12.47,58.059999999999995
FUL-ORD-1005,ORD-1005,2024-11-29,2.07,47.86,5.38,55.31
FUL-ORD-1007,ORD-1007,2024-11-02,2.16,18.93,10.58,31.67
FUL-ORD-1008,ORD-1008,2024-12-27,4.46,37.8,9.08,51.339999999999996
FUL-ORD-1009,ORD-1009,2024-12-02,3.89,36.13,5.17,45.190000000000005
FUL-ORD-1011,ORD-1011,2024-12-13,2.35,34.17,12.2,48.72
FUL-ORD-1012,ORD-1012,2024-10-22,4.27,41.59,0.0,45.86
FUL-ORD-1013,ORD-1013,2024-12-17,4.54,12.67,0.0,17.21
FUL-ORD-1014,ORD-1014,2024-10-17,2.32,29.04,0.0,31.36
FUL-ORD-1015,ORD-1015,2024-12-01,3.82,33.15,14.27,51.239999999999995
FUL-ORD-1016,ORD-1016,2024-12-11,3.19,29.6,9.74,42.53
FUL-ORD-1017,ORD-1017,2024-11-06,2.66,50.35,12.97,65.98
FUL-ORD-1018,ORD-1018,2024-12-23,2.88,33.7,0.0,36.580000000000005
FUL-ORD-1020,ORD-1020,2024-11-12,4.03,16.2,0.0,20.23
FUL-ORD-1021,ORD-1021,2024-10-12,3.94,58.83,5.11,67.88
FUL-ORD-1022,ORD-1022,2024-12-09,2.42,29.69,10.73,42.84
FUL-ORD-1023,ORD-1023,2024-12-28,3.61,24.37,8.05,36.03
FUL-ORD-1024,ORD-1024,2024-10-04,4.22,42.65,0.0,46.87
FUL-ORD-1025,ORD-1025,2024-10-10,3.24,22.68,10.13,36.050000000000004
FUL-ORD-1026,ORD-1026,2024-12-10,2.55,20.87,7.53,30.950000000000003
FUL-ORD-1028,ORD-1028,2024-10-10,2.54,44.98,13.52,61.03999999999999
FUL-ORD-1029,ORD-1029,2024-10-16,3.38,17.77,0.0,21.15
FUL-ORD-1030,ORD-1030,2024-10-13,4.02,31.58,6.97,42.56999999999999
