order_id,order_date,channel,destination_country,currency,gross_sale_amount,discount_amount,shipping_fee,channel_fee,order_status
ORD-1000,2024-12-21,dtc_website,AU,AUD,160.2,16.02,19.73,4.18,completed
ORD-1001,2024-12-09,dtc_website,UK,GBP,63.41,6.34,9.65,1.66,completed
ORD-1002,2024-12-11,dtc_website,CA,CAD,295.22,29.52,13.98,7.71,completed
ORD-1003,2024-10-01,amazon,US,USD,240.18,36.03,8.11,30.62,cancelled
ORD-1004,2024-11-13,dtc_website,UK,GBP,211.54,31.73,17.07,5.21,completed
ORD-1005,2024-11-28,tiktok_shop,JP,JPY,220.34,33.05,21.59,14.98,completed
ORD-1006,2024-11-16,tiktok_shop,AU,AUD,70.62,7.06,20.46,5.08,cancelled
ORD-1007,2024-10-30,amazon,UK,GBP,254.03,38.1,8.25,32.39,completed
ORD-1008,2024-12-25,dtc_website,JP,JPY,341.62,34.16,15.68,8.92,completed
ORD-1009,2024-11-29,dtc_website,JP,JPY,338.0,33.8,18.69,8.82,completed
ORD-1010,2024-10-08,dtc_website,US,USD,191.95,28.79,6.32,4.73,refunded
ORD-1011,2024-12-12,amazon,UK,GBP,344.95,68.99,22.69,41.39,completed
ORD-1012,2024-10-19,dtc_website,US,USD,302.62,45.39,19.94,7.46,completed
ORD-1013,2024-12-14,dtc_website,US,USD,498.89,99.78,6.82,11.57,completed
ORD-1014,2024-10-15,dtc_website,US,USD,356.22,0.0,12.7,10.33,completed
ORD-1015,2024-11-29,tiktok_shop,JP,JPY,437.35,0.0,18.61,34.99,completed
ORD-1016,2024-12-08,amazon,DE,EUR,203.08,30.46,13.7,25.89,completed
ORD-1017,2024-11-03,amazon,DE,EUR,278.46,0.0,22.41,41.77,completed
ORD-1018,2024-12-21,tiktok_shop,US,USD,218.26,21.83,15.79,15.71,completed
ORD-1019,2024-12-07,amazon,CA,CAD,269.87,0.0,23.58,40.48,refunded
ORD-1020,2024-11-09,dtc_website,US,USD,305.31,0.0,6.71,8.85,completed
ORD-1021,2024-10-09,amazon,CA,CAD,106.59,21.32,23.94,12.79,completed
ORD-1022,2024-12-07,amazon,UK,GBP,145.31,14.53,19.26,19.62,completed
ORD-1023,2024-12-25,tiktok_shop,UK,GBP,282.91,0.0,9.96,22.63,completed
ORD-1024,2024-10-03,tiktok_shop,US,USD,149.1,0.0,19.16,11.93,completed
ORD-1025,2024-10-09,amazon,FR,EUR,81.89,8.19,10.57,11.05,completed
ORD-1026,2024-12-09,dtc_website,JP,JPY,306.97,61.39,9.86,7.12,completed
ORD-1027,2024-11-22,dtc_website,US,USD,243.97,48.79,13.22,5.66,refunded
ORD-1028,2024-10-07,tiktok_shop,JP,JPY,94.29,18.86,19.56,6.03,completed
