refund_id,order_id,refund_date,refund_amount,refund_reason,currency
REF-2000,ORD-1010,2024-10-20,169.48,damaged_product,USD
REF-2001,ORD-1019,2024-12-29,293.45,damaged_product,CAD
REF-2002,ORD-1027,2024-12-12,208.4,quality_issue,USD
REF-2003,ORD-1045,2024-11-10,374.79,wrong_item,GBP
REF-2004,ORD-1049,2024-11-01,455.22999999999996,quality_issue,EUR
REF-2005,ORD-1063,2024-11-25,506.88,quality_issue,USD
REF-2006,ORD-1066,2024-11-08,321.85,wrong_item,EUR
REF-2007,ORD-1078,2024-10-29,362.64,damaged_product,GBP
REF-2008,ORD-1085,2024-12-08,340.49999999999994,customer_request,GBP
REF-2009,ORD-1097,2024-12-04,143.01000000000002,quality_issue,GBP
REF-2010,ORD-1106,2024-12-20,240.76000000000005,quality_issue,GBP
REF-2011,ORD-1111,2025-01-09,198.95,customer_request,USD
REF-2012,ORD-1124,2024-12-23,83.11999999999999,damaged_product,GBP
REF-2013,ORD-1126,2024-11-17,313.12,quality_issue,AUD
REF-2014,ORD-1129,2024-10-20,104.59,customer_request,AUD
REF-2015,ORD-1132,2025-01-09,157.98999999999998,quality_issue,GBP
REF-2016,ORD-1138,2025-01-10,338.3,quality_issue,EUR
REF-2017,ORD-1140,2024-12-02,134.93,customer_request,GBP
REF-2018,ORD-1144,2024-12-05,155.82999999999998,damaged_product,AUD
REF-2019,ORD-1157,2024-12-24,494.98,customer_request,CAD
REF-2020,ORD-1177,2024-11-21,136.96,damaged_product,CAD
REF-2021,ORD-1179,2025-01-16,58.92,damaged_product,USD
REF-2022,ORD-1187,2024-10-29,70.78999999999999,wrong_item,GBP
REF-2023,ORD-1198,2024-10-30,400.63,quality_issue,CAD
REF-2024,ORD-1232,2024-11-21,275.71,damaged_product,AUD
REF-2025,ORD-1271,2024-11-13,392.53,wrong_item,CAD
REF-2026,ORD-1286,2024-10-22,135.16,wrong_item,EUR
REF-2027,ORD-1291,2024-11-24,328.19,wrong_item,EUR
REF-2028,ORD-1298,2024-11-04,105.78,customer_request,EUR
REF-2029,ORD-1299,2025-01-06,309.48,quality_issue,CAD
REF-2030,ORD-1306,2024-12-24,236.93,wrong_item,CAD
REF-2031,ORD-1318,2024-11-11,241.92000000000002,wrong_item,USD
REF-2032,ORD-1323,2024-12-04,102.50999999999999,customer_request,EUR
REF-2033,ORD-1346,2024-11-23,228.22000000000003,wrong_item,JPY
REF-2034,ORD-1375,2025-01-05,422.61,wrong_item,GBP
REF-2035,ORD-1405,2024-11-24,498.21,damaged_product,USD
REF-2036,ORD-1410,2024-12-21,349.66,quality_issue,EUR
REF-2037,ORD-1413,2024-12-27,103.82,wrong_item,JPY
REF-2038,ORD-1419,2024-11-12,196.20000000000002,quality_issue,EUR
REF-2039,ORD-1427,2024-11-06,151.48999999999998,quality_issue,CAD
REF-2040,ORD-1437,2024-10-23,123.78000000000002,damaged_product,USD
REF-2041,ORD-1439,2024-11-14,449.77000000000004,damaged_product,EUR
REF-2042,ORD-1442,2024-11-12,183.86,damaged_product,AUD
REF-2043,ORD-1449,2024-10-16,490.09,quality_issue,GBP
REF-2044,ORD-1463,2024-10-25,269.05,quality_issue,CAD
REF-2045,ORD-1467,2024-12-26,190.85,wrong_item,USD
REF-2046,ORD-1471,2024-11-07,356.82,damaged_product,USD
REF-2047,ORD-1472,2024-10-17,159.72,customer_request,USD
REF-2048,ORD-1482,2024-11-13,84.73,customer_request,USD
REF-2049,ORD-1492,2024-11-04,369.28,quality_issue,JPY
REF-2050,ORD-1499,2025-01-01,416.48,quality_issue,GBP
