tax_transaction_id,order_id,transaction_date,destination_country,tax_type,taxable_amount,tax_rate,tax_amount,currency
TAX-ORD-1000,ORD-1000,2024-12-21,AU,VAT,144.17999999999998,0.1,14.42,AUD
DUTY-ORD-1000,ORD-1000,2024-12-21,AU,DUTY,144.17999999999998,0.08,11.53,AUD
TAX-ORD-1001,ORD-1001,2024-12-09,UK,VAT,57.06999999999999,0.2,11.41,GBP
DUTY-ORD-1001,ORD-1001,2024-12-09,UK,DUTY,57.06999999999999,0.05,2.85,GBP
TAX-ORD-1002,ORD-1002,2024-12-11,CA,VAT,265.70000000000005,0.13,34.54,CAD
DUTY-ORD-1002,ORD-1002,2024-12-11,CA,DUTY,265.70000000000005,0.05,13.29,CAD
TAX-ORD-1004,ORD-1004,2024-11-13,UK,VAT,179.81,0.2,35.96,GBP
DUTY-ORD-1004,ORD-1004,2024-11-13,UK,DUTY,179.81,0.12,21.58,GBP
TAX-ORD-1005,ORD-1005,2024-11-28,JP,VAT,187.29000000000002,0.1,18.73,JPY
TAX-ORD-1007,ORD-1007,2024-10-30,UK,VAT,215.93,0.2,43.19,GBP
DUTY-ORD-1007,ORD-1007,2024-10-30,UK,DUTY,215.93,0.05,10.8,GBP
TAX-ORD-1008,ORD-1008,2024-12-25,JP,VAT,307.46000000000004,0.1,30.75,JPY
DUTY-ORD-1008,ORD-1008,2024-12-25,JP,DUTY,307.46000000000004,0.05,15.37,JPY
TAX-ORD-1009,ORD-1009,2024-11-29,JP,VAT,304.2,0.1,30.42,JPY
DUTY-ORD-1009,ORD-1009,2024-11-29,JP,DUTY,304.2,0.05,15.21,JPY
TAX-ORD-1010,ORD-1010,2024-10-08,US,VAT,163.16,0.08,13.05,USD
TAX-ORD-1011,ORD-1011,2024-12-12,UK,VAT,275.96,0.2,55.19,GBP
DUTY-ORD-1011,ORD-1011,2024-12-12,UK,DUTY,275.96,0.05,13.8,GBP
TAX-ORD-1012,ORD-1012,2024-10-19,US,VAT,257.23,0.08,20.58,USD
TAX-ORD-1013,ORD-1013,2024-12-14,US,VAT,399.11,0.08,31.93,USD
TAX-ORD-1014,ORD-1014,2024-10-15,US,VAT,356.22,0.08,28.5,USD
TAX-ORD-1015,ORD-1015,2024-11-29,JP,VAT,437.35,0.1,43.74,JPY
TAX-ORD-1016,ORD-1016,2024-12-08,DE,VAT,172.62,0.19,32.8,EUR
DUTY-ORD-1016,ORD-1016,2024-12-08,DE,DUTY,172.62,0.05,8.63,EUR
TAX-ORD-1017,ORD-1017,2024-11-03,DE,VAT,278.46,0.19,52.91,EUR
TAX-ORD-1018,ORD-1018,2024-12-21,US,VAT,196.43,0.08,15.71,USD
TAX-ORD-1019,ORD-1019,2024-12-07,CA,VAT,269.87,0.13,35.08,CAD
DUTY-ORD-1019,ORD-1019,2024-12-07,CA,DUTY,269.87,0.08,21.59,CAD
TAX-ORD-1020,ORD-1020,2024-11-09,US,VAT,305.31,0.08,24.42,USD
TAX-ORD-1021,ORD-1021,2024-10-09,CA,VAT,85.27000000000001,0.13,11.09,CAD
TAX-ORD-1022,ORD-1022,2024-12-07,UK,VAT,130.78,0.2,26.16,GBP
DUTY-ORD-1022,ORD-1022,2024-12-07,UK,DUTY,130.78,0.12,15.69,GBP
TAX-ORD-1023,ORD-1023,2024-12-25,UK,VAT,282.91,0.2,56.58,GBP
DUTY-ORD-1023,ORD-1023,2024-12-25,UK,DUTY,282.91,0.08,22.63,GBP
TAX-ORD-1024,ORD-1024,2024-10-03,US,VAT,149.1,0.08,11.93,USD
TAX-ORD-1025,ORD-1025,2024-10-09,FR,VAT,73.7,0.2,14.74,EUR
TAX-ORD-1026,ORD-1026,2024-12-09,JP,VAT,245.58000000000004,0.1,24.56,JPY
TAX-ORD-1027,ORD-1027,2024-11-22,US,VAT,195.18,0.08,15.61,USD
TAX-ORD-1028,ORD-1028,2024-10-07,JP,VAT,75.43,0.1,7.54,JPY
TAX-ORD-1029,ORD-1029,2024-10-14,US,VAT,201.5,0.08,16.12,USD
TAX-ORD-1030,ORD-1030,2024-10-10,FR,VAT,297.65,0.2,59.53,EUR
TAX-ORD-1031,ORD-1031,2024-10-02,FR,VAT,388.72,0.2,77.74,EUR
TAX-ORD-1032,ORD-1032,2024-11-21,US,VAT,40.78,0.08,3.26,USD
TAX-ORD-1033,ORD-1033,2024-11-28,AU,VAT,302.98,0.1,30.3,AUD
TAX-ORD-1034,ORD-1034,2024-10-08,CA,VAT,386.59,0.13,50.26,CAD
DUTY-ORD-1034,ORD-1034,2024-10-08,CA,DUTY,386.59,0.12,46.39,CAD
TAX-ORD-1035,ORD-1035,2024-12-07,JP,VAT,77.44,0.1,7.74,JPY
DUTY-ORD-1035,ORD-1035,2024-12-07,JP,DUTY,77.44,0.12,9.29,JPY
TAX-ORD-1036,ORD-1036,2024-10-31,JP,VAT,306.35,0.1,30.64,JPY
DUTY-ORD-1036,ORD-1036,2024-10-31,JP,DUTY,306.35,0.12,36.76,JPY
TAX-ORD-1037,ORD-1037,2024-12-14,UK,VAT,142.24,0.2,28.45,GBP
TAX-ORD-1038,ORD-1038,2024-12-25,UK,VAT,468.06,0.2,93.61,GBP
DUTY-ORD-1038,ORD-1038,2024-12-25,UK,DUTY,468.06,0.08,37.44,GBP
TAX-ORD-1039,ORD-1039,2024-12-12,US,VAT,124.02999999999999,0.08,9.92,USD
TAX-ORD-1041,ORD-1041,2024-12-23,AU,VAT,299.57,0.1,29.96,AUD
DUTY-ORD-1041,ORD-1041,2024-12-23,AU,DUTY,299.57,0.12,35.95,AUD
TAX-ORD-1042,ORD-1042,2024-10-15,AU,VAT,101.96000000000001,0.1,10.2,AUD
